,Regularization,Test_Precision,Test_Recall,Test_Score,Train_Precision,Train_Recall,Train_Score,Dropped_Columns,Hypothetical_Score
0,0.01,0.902055573822933,0.7232067510548523,0.8024905529253357,0.9562520648594084,0.8026522001205546,0.872669353257668,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8144866395858198
0,0.01,0.9128456050654327,0.7206751054852321,0.8050610965555733,0.9601802806742455,0.8045629897528631,0.8753806798474418,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8123165803021919
0,0.01,0.9174323267424007,0.7257383966244726,0.8095451466851229,0.9551824087090195,0.8090014064697609,0.8759589691537156,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8130904183535762
0,0.01,0.9194905560293606,0.7206751054852321,0.8075509741217027,0.9619991357785953,0.8026582278481011,0.8751147726542179,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.816604372037421
0,0.01,0.9072577815532874,0.7156118143459915,0.7998094094537616,0.9648497745582473,0.7963090214988948,0.8724167294907035,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8169566469820992
0,0.01,0.9132214242913396,0.7206751054852321,0.8052547596928321,0.9579636456049802,0.7956821378340365,0.8693058017874943,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8079833079149281
0,0.01,0.9100558134394342,0.7181434599156118,0.8024313454097651,0.9546403816361781,0.7988587502511553,0.8697991500869886,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8126097191164657
0,0.01,0.9111577665788062,0.7232067510548523,0.8055958597346684,0.96153353490614,0.7912316656620455,0.8680261821949002,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8122503285098279
0,0.01,0.9143596271624685,0.7232392080493346,0.8067290753891381,0.9586993787005277,0.8077315651999196,0.8767074496347742,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8137039389795844
0,0.01,0.9063577679479631,0.7257708536189549,0.8051171903014488,0.9578131576936905,0.8045589712678319,0.8744570062216386,"[344, 347, 76, 265, 329, 329, 306, 6, 329, 313, 313, 129, 306, 265, 391, 133, 133, 329, 294, 129, 347, 313, 329, 306, 243, 306, 313, 313, 129, 306, 347, 15, 306, 391, 391, 313, 346, 391, 346, 391, 391, 346, 313, 313, 346, 346, 129, 129, 313, 274]",0.8141219713822455
